ID,NUM,STUDY,DATASET,YEAR,COUNTRY,SITE,NUMBER.LAKES,LAT,LONG,ECOREGION,PERMA.ZONE,LAKE.TYPE,BOTTOM,TALIK,SA,DEPTH,SEASON,YEAR.S,MONTH,PATHWAY,D.METHOD,K600_EQ,K_REF,E.METHOD,E.LOCATION,S.METHOD,D.DAYS,E.DAYS,LENGTH,CH4.D.FLUX,CH4.E.FLUX,Seasonal.Diff.Flux,Seasonal.Ebul,Seasonal.Storage,IBS,TEMP,DOC,PH,ICEFREE.DAYS,CLASS,SIZE,TYPE,CD_Pcp_An,BIOME,GRID_T,NOTES,DOI
1,1,Bartlett et al. 1992,WIK,1992,USA,Large lakes,20,60.46,-161.45,ST,C,T,U,U,11,-,Icefree,1988,July-August,D,WS,k = 1.1 + 1.2U^(1.96) cm h-1,Sebacher et al. 1983,-,-,-,2,-,13,3.8,-,-,-,-,-,-,-,7.05,-,LL,L,-,522.45,11,-0.006,-,https://doi.org/10.1029/91JD00610
2,1,Bartlett et al. 1992,WIK,1992,USA,Small lakes,20,60.46,-161.45,ST,C,T,U,U,5,-,Icefree,1988,July-August,DE,WS,k = 1.1 + 1.2U^(1.96) cm h-2,Sebacher et al. 1984,U,-,-,2,-,13,77,112,-,-,-,-,-,-,7.05,-,MLPe,M,Pe,522.45,11,-0.006,-,https://doi.org/10.1029/91JD00610
3,1,Bartlett et al. 1992,WIK,1992,USA,CHAOS,1,60.46,-161.45,ST,C,T,U,U,0.04,1,Icefree,1988,July-August,D,WS,k = 1.1 + 1.2U^(1.96) cm h-3,Sebacher et al. 1985,-,-,-,7,-,13,2,-,-,-,-,-,-,-,7.05,-,SLPe,S,Pe,522.45,11,-0.006,-,https://doi.org/10.1029/91JD00610
4,1,Bartlett et al. 1992,WIK,1992,USA,Pingo pond,1,60.46,-161.45,ST,C,T,U,U,-,1,Icefree,1988,July-August,D,WS,k = 1.1 + 1.2U^(1.96) cm h-4,Sebacher et al. 1986,-,-,-,7,-,13,14.7,-,-,-,-,-,-,-,7.05,-,SLPe,S,Pe,522.45,11,-0.006,-,https://doi.org/10.1029/91JD00610
5,2,Bastviken et al. 2004,WIK,2004,Sweden,Bisen,1,-,-,CB,N,GP,O,N,0.433,-,Icefree,2000,July,D,CH,-,-,-,-,-,1,-,1,0.7,-,0.1,-,-,-,16,8.3,6.33,245,MLOP,M,OP,-,-,-,-,https://doi.org/10.1029/2004GB002238
6,2,Bastviken et al. 2004,WIK,2004,Sweden,Fiolen,1,-,-,CB,N,GP,O,N,1.5,-,Icefree_Winter,2000,July,DS,CH,-,-,-,-,WS,1,-,1,0.6,-,0.1,-,0,-,16.5,6.8,6.3,245,MLOP,M,OP,-,-,-,-,https://doi.org/10.1029/2004GB002238
7,2,Bastviken et al. 2004,WIK,2004,Sweden,Grunnen,1,-,-,CB,N,GP,O,N,0.48,-,Icefree,2000,July,D,CH,-,-,-,-,-,1,-,1,3.2,-,0.7,-,-,-,16.5,17.2,7.26,245,MLOP,M,OP,-,-,-,-,https://doi.org/10.1029/2004GB002238
8,2,Bastviken et al. 2004,WIK,2004,Sweden,Gyslättasjön,1,-,-,CB,N,GP,O,N,0.263,-,Icefree,2000,July,D,CH,-,-,-,-,-,1,-,1,2.7,-,0.6,-,-,-,16.9,13.4,6.66,245,MLOP,M,OP,-,-,-,-,https://doi.org/10.1029/2004GB002238
9,2,Bastviken et al. 2004,WIK,2004,Sweden,L. Sångaren,1,-,-,CB,N,GP,O,N,0.24,-,Icefree_Winter,2000,July,DS,CH,-,-,-,-,WS,1,-,1,1.1,-,0.2,-,0,-,17.8,7.4,6.26,245,MLOP,M,OP,-,-,-,-,https://doi.org/10.1029/2004GB002238
10,2,Bastviken et al. 2004,WIK,2004,Sweden,Ljustjärn,1,-,-,CB,N,GP,O,N,0.13,-,Icefree_Winter,2000,July,DS,CH,-,-,-,-,WS,1,-,1,3,-,0.7,-,0.1,-,17.7,4.4,6.64,245,MLOP,M,OP,-,-,-,-,https://doi.org/10.1029/2004GB002238
11,2,Bastviken et al. 2004,WIK,2004,Sweden,Skärhultssjön,1,-,-,CB,N,GP,O,N,0.292,-,Icefree_Winter,2000,July,DS,CH,-,-,-,-,WS,1,-,1,1.2,-,0.3,-,0,-,-,15.9,-,245,MLOP,M,OP,-,-,-,-,https://doi.org/10.1029/2004GB002238
12,2,Bastviken et al. 2004,WIK,2004,Sweden,Klintsjön,1,-,-,CB,N,GP,O,N,0.1,-,Icefree_Winter,2000,July,DS,CH,-,-,-,-,WS,1,-,1,2.2,-,0.5,-,0,-,16.6,4.7,5.38,245,MLOP,M,OP,-,-,-,-,https://doi.org/10.1029/2004GB002238
13,2,Bastviken et al. 2004,WIK,2004,Sweden,Gransjön,1,-,-,CB,N,GP,O,N,0.045,-,Icefree,2000,July,D,CH,-,-,-,-,-,1,-,1,3.4,-,0.8,-,-,-,17.1,11.6,6.57,245,SLOP,S,OP,-,-,-,-,https://doi.org/10.1029/2004GB002238
14,2,Bastviken et al. 2004,WIK,2004,Sweden,Lövtjärn,1,-,-,CB,N,GP,O,N,0.085,-,Icefree,2000,July,D,CH,-,-,-,-,-,1,-,1,3.8,-,0.9,-,-,-,18.3,6.6,5.35,245,SLOP,S,OP,-,-,-,-,https://doi.org/10.1029/2004GB002238
15,2,Bastviken et al. 2004,WIK,2004,Sweden,Rågåstjärn,1,-,-,CB,N,GP,O,N,0.04,-,Icefree,2000,July,D,CH,-,-,-,-,-,1,-,1,6.9,-,1.5,-,-,-,17.2,5.8,7.26,245,SLOP,S,OP,-,-,-,-,https://doi.org/10.1029/2004GB002238
16,2,Bastviken et al. 2004,WIK,2004,Sweden,Skottjärn,1,-,-,CB,N,GP,O,N,0.028,-,Icefree,2000,July,D,CH,-,-,-,-,-,1,-,1,11.4,-,2.6,-,-,-,16.3,20.5,4.72,245,SLOP,S,OP,-,-,-,-,https://doi.org/10.1029/2004GB002238
17,2,Bastviken et al. 2004,WIK,2004,Sweden,Svarttjärn,1,-,-,CB,N,GP,O,N,0.007,-,Icefree,2000,July,D,CH,-,-,-,-,-,1,-,1,11.8,-,2.6,-,-,-,12.7,18.8,4.76,245,SLOP,S,OP,-,-,-,-,https://doi.org/10.1029/2004GB002238
