Reservoir,GRanD,Impoundment year,Longitude,Latitude,Climate,area_km2,Littoral_frac,riv_area,catch_area,z_max,z_mean,thermo_d,discharge,wrt_yrs,TP,trophic_status,Soil_C,Cum_radiance,effective_temp_ch4,effective_temp_co2,References,year,period_of_sample,bubble_correct_mgC_m2_d
Alamo,10000,1968,-113.6,34.23,Subtropical,10.4,12.8,10.56,11978,24,11.8,3.3,,,,,1.9,65,24.2,24.1,Therrien et al 2005,2003,4,
Allatoona Lake Dam and Powerhouse,1862,1949,-84.73,34.17,Temperate,49,23.46,3.56,2698,44.2,9.2,3.9,54.1,0.2642,63.8,Hyper-eutrophe,8.4,50.3,18.4,18.3,Bevelhimer et al 2016,2012,9,4.884
Alouette,35,1928,-122.48,49.29,Temperate,16,1.84,4.05,202,125.5,71,6.2,7.7,4.706,5.6,Mesotrophe,23.2,62.2,11.3,11.3,Tremblay et al 2005,2002,7,
Ângerman,10001,,17.94,62.8,Boreal,67.7,,2.88,1543,,,12.8,9.8,,,,19,31.3,8.9,8.9,Bergstrom et al 2004,2000,8,
Arivaca,10002,1970,-111.26,31.53,Subtropical,0.4,43.51,5.77,35,7.6,3.6,1.8,,,,,3.7,64.9,19.2,19.1,Therrien et al 2005,2003,4,
Augusta,10003,1953,146.55,-41.87,Temperate,11,,2.74,224,440.7,,,5.6,,,,19.3,67.3,6.6,6.6,Bastien and Demarty 2013,2008,4,
Baihua,5630,1960,106.54,26.69,Temperate,14.5,17.28,6.4,1303,45,12,2.7,30.5,0.1807,93.6,Hyper-eutrophe,8.8,36.5,18.3,18.2,Wang et al 2011,2007,year,
Baker Dam,10004,1950,-113.64,37.38,Subtropical,0.3,22.72,9.46,240,16.7,7.3,1.9,,,,,5.6,60.5,15.1,15,Therrien et al 2005,2003,4,
Balbina,2363,1987,-59.48,-1.91,Tropical,1960,27.51,1.12,18826,30,7.4,33,760.8,0.6045,2.9,Oligotrophe,10,57.7,27.3,27.3,Guerin et al 2006,2004,11,5.485
Balbina,2363,1987,-59.48,-1.91,Tropical,1770,27.51,1.24,18826,30,7.4,33,760.8,0.5459,2.9,Oligotrophe,10,57.7,27.3,27.3,Demarty and Bastien 2011,2003,year,
Balbina,2363,1987,-59.48,-1.91,Tropical,1770,27.51,1.24,18826,30,7.4,33,760.8,0.5459,2.9,Oligotrophe,10,57.7,27.3,27.3,Yang et al 2014,2005,year,
Balbina,2363,1987,-59.48,-1.91,Tropical,1770,27.51,1.24,18826,30,7.4,33,760.8,0.5459,2.9,Oligotrophe,10,57.7,27.3,27.3,Kemenes et al 2007,2005,year,
Baroon Pocket,6710,1989,152.87,-26.7,Temperate,4,4.04,1.9,66,18.5,15,4.9,1.7,1.1463,10.5,Mesotrophe,10.4,61.8,19.9,19.9,Musenze et al 2014,2011,year,
Barra Bonita,2402,1964,-48.53,-22.52,Temperate,228.3,14.79,3.79,32652,25,11.1,14.5,420.8,0.191,352.4,Hyper-eutrophe,8.2,60.5,21.5,21.5,Demarty and Bastien 2011,1999,year,
Barra Bonita,2402,1964,-48.53,-22.52,Temperate,228.3,14.79,3.79,32652,25,11.1,14.5,420.8,0.191,352.4,Hyper-eutrophe,8.2,60.5,21.5,21.5,Rosa et al 2002,1995,year,2.97
Barra Bonita,2402,1964,-48.53,-22.52,Temperate,312,14.79,2.77,32652,25,11.1,15.7,420.8,0.261,335.1,Hyper-eutrophe,8.2,60.5,21.5,21.5,Rosa et al 2004,1998,year,
